Lu[394]  -6.91155e-005 -6.79967e-005 -0.000869204
Lu[395]  -0.000143089 -0.000156745 -0.000753215
Lu[396]  0.000356662 -0.000649015 -0.00101587
Lu[397]  0.00128147 2.85632e-005 -0.000199703
Lu[398]  -0.000608227 -0.00057084 -0.000861241
Lu[399]  -0.000887296 -0.000546538 -0.000853121
Lu[400]  -0.000398681 -0.00141553 -0.000773735
Lu[401]  1.49794e-005 -0.00147953 0.000258011
Lu[402]  0.000119246 -0.00122421 -0.000182434
Lu[403]  0.00023391 -0.000826475 -0.000123625
Lu[404]  0.000205258 0.000124311 -0.00105404
Lu[405]  -0.000117445 -0.00015103 -0.000758398
Lu[406]  -0.000104362 -0.000268611 -0.000581982
Lu[407]  7.14131e-005 -0.000400683 -0.000452084
Lu[408]  0.000163216 -0.000426645 -0.000461383
Lu[409]  0.000225398 -0.000385228 -0.000487079
Lu[410]  0.000306767 -0.000376253 -0.000534184
Lu[411]  0.000325296 -0.000428694 -0.00057114
Lu[412]  0.00102713 0.000199163 -0.00033817
Lu[413]  -0.000440976 -0.000622929 -0.000841157
Lu[414]  -0.000569921 -0.000693489 -0.000823961
Lu[415]  -0.000759617 -0.000653441 -0.000844545
Lu[416]  -0.000417131 -0.00193416 -2.34958e-005
Lu[417]  -0.000259674 -0.00115171 -0.00074887
Lu[418]  0.000490502 -0.000823419 -0.000265108
Lu[419]  -0.000118494 -0.00178724 -6.06171e-005
Lu[420]  0.000119153 -0.00106869 2.15703e-005
Lu[421]  -0.000126905 -0.000239734 -0.000631188
Lu[422]  -3.57417e-005 -0.00028582 -0.000520539
Lu[423]  0.000174633 -0.000482074 -0.000448231
Lu[424]  0.000323574 -0.000475006 -0.000605971
Lu[425]  0.000368483 -0.000398129 -0.000632463
Lu[426]  0.000359573 -0.000407063 -0.000676807
Lu[427]  0.000576867 0.000471672 -0.00108
Lu[428]  0.000263088 0.000439956 -0.00181447
Lu[429]  0.000394443 0.000261537 0.000309003
Lu[430]  0.00092844 7.03941e-005 0.00103577
Lu[431]  6.72412e-005 -0.00043239 -0.00035684
Lu[432]  0.000727784 -0.00130268 -0.00131609
Lu[433]  0.000636934 0.000216486 -0.000860429
Lu[434]  0.000406789 0.000191019 -0.000971558
Lu[435]  3.97646e-005 2.33729e-005 -0.000947999
Lu[436]  -0.000123529 -0.000251421 -0.000597071
Lu[437]  0.000238095 -0.000477019 -0.000491234
Lu[438]  0.000164331 -0.000524258 -0.000727541
Lu[439]  -0.000350156 -0.000688784 -0.000797562
Lu[440]  -0.000115964 -0.000198784 -0.000664158
Lu[441]  0.000351812 -0.000430609 -0.000644442
Lu[442]  -0.000329784 -0.000817784 -0.000761205
Lu[443]  -0.000799638 -0.000775395 -0.000844666
Lu[444]  6.85063e-005 -0.00129834 0.000320673
Lu[445]  0.000453686 0.000265144 -0.000937289
Lu[446]  0.000182885 0.00011973 -0.000969762
Lu[447]  2.54096e-005 2.25982e-005 -0.000874537
Lu[448]  -6.6559e-005 -9.34527e-005 -0.000786624
Lu[449]  -8.28208e-005 -0.000315703 -0.000525603
Lu[450]  0.000234003 -0.000521935 -0.000682419
Lu[451]  2.31566e-005 -0.000643864 -0.000707264
Lu[452]  3.16484e-005 -0.000675453 -0.00068957
Lu[453]  -0.00052634 -0.00081133 -0.000800065
Lu[454]  -0.00122436 -0.00146372 -0.000685412
Lu[455]  -0.000109951 -0.000287947 -0.000551538
Lu[456]  6.13524e-005 -0.00045219 -0.000416193
Lu[457]  0.000278062 -0.000528755 -0.000542825
Lu[458]  0.000300337 -0.000492188 -0.000650425
Lu[459]  0.000208738 -0.000609799 -0.00064547
Lu[460]  -1.34629e-005 -0.000743541 -0.000694621
Lu[461]  -0.000140016 -0.000779784 -0.000723866
Lu[462]  -0.000679437 -0.000779832 -0.000826166
Lu[463]  -0.000698943 -0.000941689 -0.000829385
Lu[464]  -0.00113564 -0.00172736 -0.000464
Lu[465]  0.000117778 -0.000473513 -0.000424206
Lu[466]  0.000241859 -0.000635671 -0.000574034
Lu[467]  0.000146619 -0.000597373 -0.000681487
Lu[468]  -0.000383115 -0.00095992 -0.000763964
Lu[469]  -0.00049314 -0.000935416 -0.000786457
Lu[470]  0.000363143 -0.000644481 -0.000678837
Lu[471]  -0.00010016 -0.000121906 -0.000636988
Lu[472]  -0.000660287 -0.00197577 -0.000390437
Lu[473]  0.000247421 0.000273998 -0.00101229
Lu[474]  0.000263416 0.000198588 -0.000963619
Lu[475]  8.16557e-005 0.000151172 -0.000944067
Lu[476]  -0.000101992 -0.000228351 -0.000584007
Lu[477]  6.63695e-005 -0.00067824 -0.000680847
Lu[478]  -0.000259963 -0.000905154 -0.000740764
Lu[479]  -0.000462379 -0.00100805 -0.000779993
Lu[480]  -0.000917787 -0.00105823 -0.000869615
Lu[481]  -1.07328e-005 -0.000614552 0.000856565
Lu[482]  -9.58788e-005 -0.000154745 -0.000685971
Lu[483]  -7.0823e-005 -0.000343451 -0.000471005
Lu[484]  -5.09808e-006 -0.000400109 -0.000440198
Lu[485]  0.000159775 -0.000548018 -0.000412447
Lu[486]  0.000127731 -0.000672367 -0.000294746
Lu[487]  0.000128347 -0.000684982 -0.000659504
Lu[488]  0.000543418 -0.000553755 0.000810608
Lu[489]  0.00128726 0.000369266 0.0011439
Lu[490]  -6.82326e-005 -0.000334543 -0.000412468
Lu[491]  0.000156616 -0.000472845 -0.000633518
Lu[492]  -5.59292e-005 -5.65485e-005 -0.000755567
Lu[493]  -1.75275e-005 -0.000432668 -0.000376323
Lu[494]  0.000173198 -0.000772025 -0.000364147
Lu[495]  0.000210263 -0.000753348 -0.000502075
Lu[496]  3.80798e-005 -0.000800836 -0.000672072
Lu[497]  -0.000315278 -0.00104294 -0.000755401
Lu[498]  5.41609e-005 1.26252e-005 -0.000416177
Lu[499]  -5.41569e-005 6.68291e-005 -0.000859336
Lu[500]  0.000479351 -0.000262681 0.000985279
Lu[501]  0.00108152 0.000388608 0.00121317
Lu[502]  0.000483512 0.000223306 0.000288123
Lu[503]  -0.00139777 -0.000736809 0.00135168
Lu[504]  0.000407969 0.00017616 -0.000195397
Lu[505]  -0.000558567 0.00135743 -0.00100277
Lu[506]  -0.000130959 -8.85443e-005 -0.000662866
